"year","fa.action_name","region_name","age_group","active_count","actions_count"
2026,"2.5. Готов помогать проекту",Алтайский край,"14-17",30,49
2026,"2.5. Готов помогать проекту",Алтайский край,"25-35",17,18
2026,"2.5. Готов помогать проекту",Алтайский край,"0-13",3,3
2026,"2.5. Готов помогать проекту",Алтайский край,"55-64",5,8
2026,"2.5. Готов помогать проекту",Алтайский край,"18-24",56,71
2026,"2.5. Готов помогать проекту",Алтайский край,"36-54",39,68
2026,"2.6. Готов помогать организации",Алтайский край,"55-64",53,74
2026,"2.6. Готов помогать организации",Алтайский край,"36-54",233,428
2026,"2.6. Готов помогать организации",Алтайский край,"18-24",1066,1305
2026,"2.6. Готов помогать организации",Алтайский край,"14-17",685,902
2026,"2.6. Готов помогать организации",Алтайский край,"0-13",32,38
2026,"2.6. Готов помогать организации",Алтайский край,"25-35",158,201
2026,"2.9. Подал заявку на меру поддержки Навигатора",Алтайский край,"14-17",1,1
2026,"3.1. Подал заявку на конкурс",Алтайский край,"55-64",1,1
2026,"3.1. Подал заявку на конкурс",Алтайский край,"36-54",1,1
2026,"3.2. Заявка в Добро Центр",Алтайский край,"18-24",2,4
2026,"3.2. Заявка в Добро Центр",Алтайский край,"36-54",2,3
2026,"3.2. Заявка в Добро Центр",Алтайский край,"25-35",2,2
2026,"3.3. Написал статью в Добро Медиа",Алтайский край,"36-54",3,16
2026,"3.3. Написал статью в Добро Медиа",Алтайский край,"25-35",1,1
2026,"4.1. Прикрепил Госуслуги",Алтайский край,"36-54",341,341
2026,"4.1. Прикрепил Госуслуги",Алтайский край,"25-35",163,163
2026,"4.1. Прикрепил Госуслуги",Алтайский край,"14-17",744,744
2026,"4.1. Прикрепил Госуслуги",Алтайский край,"55-64",78,78
2026,"4.1. Прикрепил Госуслуги",Алтайский край,"18-24",685,685
2026,"4.2. Волонтер откликнулся на вакансию",Алтайский край,"25-35",318,730
2026,"4.2. Волонтер откликнулся на вакансию",Алтайский край,"14-17",1683,4377
2026,"4.2. Волонтер откликнулся на вакансию",Алтайский край,"0-13",97,290
2026,"4.2. Волонтер откликнулся на вакансию",Алтайский край,"18-24",2225,5338
2026,"4.2. Волонтер откликнулся на вакансию",Алтайский край,"55-64",176,589
2026,"4.2. Волонтер откликнулся на вакансию",Алтайский край,"36-54",614,2196
2026,"4.4. Проставил часы как организатор мероприятия",Алтайский край,"36-54",6,75
2026,"4.4. Проставил часы как организатор мероприятия",Алтайский край,"25-35",1,13
2026,"4.4. Проставил часы как организатор мероприятия",Алтайский край,"18-24",1,37
2026,"4.5. Логинился > 2 раз в мобильном приложении",Алтайский край,"14-17",13,13
2026,"4.5. Логинился > 2 раз в мобильном приложении",Алтайский край,"18-24",15,15
2026,"4.5. Логинился > 2 раз в мобильном приложении",Алтайский край,"55-64",1,1
2026,"4.5. Логинился > 2 раз в мобильном приложении",Алтайский край,"36-54",5,5
2026,"4.5. Логинился > 2 раз в мобильном приложении",Алтайский край,"25-35",4,4
2026,"4.6. Прошел опрос NPS",Алтайский край,"55-64",56,57
2026,"4.6. Прошел опрос NPS",Алтайский край,"14-17",51,51
2026,"4.6. Прошел опрос NPS",Алтайский край,"36-54",282,283
2026,"4.6. Прошел опрос NPS",Алтайский край,"18-24",412,413
2026,"4.6. Прошел опрос NPS",Алтайский край,"25-35",136,136
2026,"4.6. Прошел опрос NPS",Алтайский край,"0-13",4,4
2026,"4.7. Пригласил пользователя по реферальной ссылке",Алтайский край,"55-64",1,1
2026,"4.7. Пригласил пользователя по реферальной ссылке",Алтайский край,"0-13",1,1
2026,"4.7. Пригласил пользователя по реферальной ссылке",Алтайский край,"18-24",32,32
2026,"4.7. Пригласил пользователя по реферальной ссылке",Алтайский край,"14-17",24,24
2026,"4.7. Пригласил пользователя по реферальной ссылке",Алтайский край,"36-54",30,30
2026,"4.7. Пригласил пользователя по реферальной ссылке",Алтайский край,"25-35",8,8
2026,"4.8. Заполнил отзыв о мероприятии",Алтайский край,"0-13",4,7
2026,"4.8. Заполнил отзыв о мероприятии",Алтайский край,"25-35",19,38
2026,"4.8. Заполнил отзыв о мероприятии",Алтайский край,"14-17",33,64
2026,"4.8. Заполнил отзыв о мероприятии",Алтайский край,"18-24",41,66
2026,"4.8. Заполнил отзыв о мероприятии",Алтайский край,"55-64",12,21
2026,"4.8. Заполнил отзыв о мероприятии",Алтайский край,"36-54",90,264
2026,"1.2. Донорство",Амурская область,"25-35",14,16
2026,"1.2. Донорство",Амурская область,"36-54",25,25
2026,"1.2. Донорство",Амурская область,"18-24",26,29
2026,"1.2. Донорство",Амурская область,"55-64",2,3
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником",Амурская область,"14-17",1,1
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником",Амурская область,"55-64",8,8
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником",Амурская область,"36-54",30,30
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником",Амурская область,"25-35",3,3
2026,"1.3. Наставничество 2.8. Подал заявку на помощь наставника",Амурская область,"14-17",1,4
2026,"1.3. Наставничество 2.8. Подал заявку на помощь наставника",Амурская область,"36-54",1,1
2026,"1.4. Создание проектов",Амурская область,"36-54",2,2
2026,"1.5. Создание мероприятий",Амурская область,"55-64",1,6
2026,"1.5. Создание мероприятий",Амурская область,"25-35",3,4
2026,"1.5. Создание мероприятий",Амурская область,"36-54",9,17
2026,"1.5. Создание мероприятий",Амурская область,"18-24",3,7
2026,"1.6. Добро Взаимно (закрытые сделки)",Амурская область,"36-54",2,2
2026,"1.6. Добро Взаимно (закрытые сделки)",Амурская область,"18-24",3,3
2026,"1.8. Малые добрые дела в ленте добрых дел",Амурская область,"36-54",8,90
2026,"1.8. Малые добрые дела в ленте добрых дел",Амурская область,"55-64",6,21
2026,"2.1. Сертификаты Добро Университет",Амурская область,"25-35",75,94
2026,"2.1. Сертификаты Добро Университет",Амурская область,"55-64",21,37
2026,"2.1. Сертификаты Добро Университет",Амурская область,"36-54",156,204
2026,"2.1. Сертификаты Добро Университет",Амурская область,"14-17",252,269
2026,"2.1. Сертификаты Добро Университет",Амурская область,"0-13",2,2
2026,"2.1. Сертификаты Добро Университет",Амурская область,"18-24",138,177
2026,"2.2. Посещение мероприятий",Амурская область,"25-35",2,2
2026,"2.2. Посещение мероприятий",Амурская область,"18-24",10,10
2026,"2.2. Посещение мероприятий",Амурская область,"0-13",2,2
2026,"2.2. Посещение мероприятий",Амурская область,"55-64",5,9
2026,"2.2. Посещение мероприятий",Амурская область,"36-54",11,15
2026,"2.2. Посещение мероприятий",Амурская область,"14-17",22,28
2026,"2.3. Пройденный путь волонтера",Амурская область,"36-54",27,32
2026,"2.3. Пройденный путь волонтера",Амурская область,"55-64",2,2
2026,"2.3. Пройденный путь волонтера",Амурская область,"25-35",5,5
2026,"2.3. Пройденный путь волонтера",Амурская область,"18-24",17,19
2026,"2.3. Пройденный путь волонтера",Амурская область,"14-17",2,2
2026,"2.5. Готов помогать проекту",Амурская область,"36-54",13,17
2026,"2.5. Готов помогать проекту",Амурская область,"14-17",4,5
2026,"2.5. Готов помогать проекту",Амурская область,"25-35",6,10
2026,"2.5. Готов помогать проекту",Амурская область,"55-64",3,6
2026,"2.5. Готов помогать проекту",Амурская область,"18-24",6,6
2026,"2.6. Готов помогать организации",Амурская область,"36-54",156,229
2026,"2.6. Готов помогать организации",Амурская область,"14-17",582,718
2026,"2.6. Готов помогать организации",Амурская область,"18-24",484,690
2026,"2.6. Готов помогать организации",Амурская область,"25-35",88,116
2026,"2.6. Готов помогать организации",Амурская область,"55-64",45,57
2026,"2.6. Готов помогать организации",Амурская область,"0-13",94,114
2026,"3.1. Подал заявку на конкурс",Амурская область,"55-64",1,1
2026,"3.1. Подал заявку на конкурс",Амурская область,"36-54",4,4
2026,"3.1. Подал заявку на конкурс",Амурская область,"25-35",2,2
2026,"3.2. Заявка в Добро Центр",Амурская область,"25-35",2,3
2026,"3.2. Заявка в Добро Центр",Амурская область,"55-64",4,15
2026,"3.2. Заявка в Добро Центр",Амурская область,"36-54",3,4
2026,"3.2. Заявка в Добро Центр",Амурская область,"18-24",11,11
2026,"3.2. Заявка в Добро Центр",Амурская область,"14-17",2,6
2026,"3.3. Написал статью в Добро Медиа",Амурская область,"36-54",2,11
2026,"4.1. Прикрепил Госуслуги",Амурская область,"25-35",89,89
2026,"4.1. Прикрепил Госуслуги",Амурская область,"36-54",161,161
2026,"4.1. Прикрепил Госуслуги",Амурская область,"14-17",337,337
2026,"4.1. Прикрепил Госуслуги",Амурская область,"18-24",242,242
2026,"4.1. Прикрепил Госуслуги",Амурская область,"55-64",33,33
2026,"4.2. Волонтер откликнулся на вакансию",Амурская область,"0-13",156,427
2026,"4.2. Волонтер откликнулся на вакансию",Амурская область,"25-35",193,670
2026,"4.2. Волонтер откликнулся на вакансию",Амурская область,"55-64",189,1506
2026,"4.2. Волонтер откликнулся на вакансию",Амурская область,"36-54",414,2050
2026,"4.2. Волонтер откликнулся на вакансию",Амурская область,"18-24",906,3024
2026,"4.2. Волонтер откликнулся на вакансию",Амурская область,"14-17",1035,2716
2026,"4.4. Проставил часы как организатор мероприятия",Амурская область,"55-64",1,5
2026,"4.4. Проставил часы как организатор мероприятия",Амурская область,"36-54",5,44
2026,"4.4. Проставил часы как организатор мероприятия",Амурская область,"18-24",2,14
2026,"4.5. Логинился > 2 раз в мобильном приложении",Амурская область,"0-13",4,4
2026,"4.5. Логинился > 2 раз в мобильном приложении",Амурская область,"14-17",6,6
2026,"4.5. Логинился > 2 раз в мобильном приложении",Амурская область,"18-24",4,4
2026,"4.5. Логинился > 2 раз в мобильном приложении",Амурская область,"36-54",1,1
2026,"4.5. Логинился > 2 раз в мобильном приложении",Амурская область,"25-35",3,3
2026,"4.6. Прошел опрос NPS",Амурская область,"14-17",92,92
2026,"4.6. Прошел опрос NPS",Амурская область,"0-13",5,5
2026,"4.6. Прошел опрос NPS",Амурская область,"18-24",241,241
2026,"4.6. Прошел опрос NPS",Амурская область,"36-54",242,243
2026,"4.6. Прошел опрос NPS",Амурская область,"25-35",93,93
2026,"4.6. Прошел опрос NPS",Амурская область,"55-64",77,77
2026,"4.7. Пригласил пользователя по реферальной ссылке",Амурская область,"55-64",2,2
2026,"4.7. Пригласил пользователя по реферальной ссылке",Амурская область,"36-54",18,18
2026,"4.7. Пригласил пользователя по реферальной ссылке",Амурская область,"25-35",9,9
2026,"4.7. Пригласил пользователя по реферальной ссылке",Амурская область,"14-17",17,17
2026,"4.7. Пригласил пользователя по реферальной ссылке",Амурская область,"0-13",9,9
2026,"4.8. Заполнил отзыв о мероприятии",Амурская область,"55-64",11,60
2026,"4.8. Заполнил отзыв о мероприятии",Амурская область,"18-24",18,47
2026,"4.8. Заполнил отзыв о мероприятии",Амурская область,"14-17",27,72
2026,"4.8. Заполнил отзыв о мероприятии",Амурская область,"36-54",38,93
2026,"4.8. Заполнил отзыв о мероприятии",Амурская область,"0-13",9,19
2026,"4.8. Заполнил отзыв о мероприятии",Амурская область,"25-35",10,32
2026,"1.2. Донорство",Архангельская область,"25-35",7,7
2026,"1.2. Донорство",Архангельская область,"36-54",10,11
2026,"1.2. Донорство",Архангельская область,"18-24",8,8
2026,"1.2. Донорство",Архангельская область,"55-64",1,1
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником",Архангельская область,"36-54",13,13
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником",Архангельская область,"25-35",4,4
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником",Архангельская область,"18-24",1,1
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником",Архангельская область,"55-64",1,1
2026,"1.3. Наставничество 2.8. Подал заявку на помощь наставника",Архангельская область,"18-24",2,2
2026,"1.4. Создание проектов",Архангельская область,"36-54",2,2
2026,"1.4. Создание проектов",Архангельская область,"25-35",1,5
2026,"1.4. Создание проектов",Архангельская область,"55-64",1,1
2026,"1.5. Создание мероприятий",Архангельская область,"25-35",1,1
2026,"1.5. Создание мероприятий",Архангельская область,"55-64",2,2
2026,"1.5. Создание мероприятий",Архангельская область,"36-54",8,21
2026,"1.6. Добро Взаимно (закрытые сделки)",Архангельская область,"18-24",1,2
2026,"1.6. Добро Взаимно (закрытые сделки)",Архангельская область,"36-54",4,5
2026,"1.6. Добро Взаимно (закрытые сделки)",Архангельская область,"55-64",2,2
2026,"1.6. Добро Взаимно (закрытые сделки)",Архангельская область,"25-35",2,3
2026,"1.8. Малые добрые дела в ленте добрых дел",Архангельская область,"0-13",1,2
2026,"1.8. Малые добрые дела в ленте добрых дел",Архангельская область,"36-54",6,25
2026,"1.8. Малые добрые дела в ленте добрых дел",Архангельская область,"18-24",2,16
2026,"1.8. Малые добрые дела в ленте добрых дел",Архангельская область,"55-64",40,578
2026,"2.1. Сертификаты Добро Университет",Архангельская область,"36-54",101,172
2026,"2.1. Сертификаты Добро Университет",Архангельская область,"14-17",91,145
2026,"2.1. Сертификаты Добро Университет",Архангельская область,"55-64",22,87
2026,"2.1. Сертификаты Добро Университет",Архангельская область,"25-35",24,33
2026,"2.1. Сертификаты Добро Университет",Архангельская область,"18-24",131,236
2026,"2.1. Сертификаты Добро Университет",Архангельская область,"0-13",1,1
2026,"2.2. Посещение мероприятий",Архангельская область,"18-24",1,1
2026,"2.2. Посещение мероприятий",Архангельская область,"36-54",1,1
2026,"2.3. Пройденный путь волонтера",Архангельская область,"25-35",9,9
2026,"2.3. Пройденный путь волонтера",Архангельская область,"18-24",22,24
2026,"2.3. Пройденный путь волонтера",Архангельская область,"36-54",30,30
2026,"2.3. Пройденный путь волонтера",Архангельская область,"14-17",1,1
2026,"2.3. Пройденный путь волонтера",Архангельская область,"55-64",16,20
2026,"2.5. Готов помогать проекту",Архангельская область,"18-24",16,24
2026,"2.5. Готов помогать проекту",Архангельская область,"14-17",12,18
2026,"2.5. Готов помогать проекту",Архангельская область,"36-54",27,49
2026,"2.5. Готов помогать проекту",Архангельская область,"25-35",8,11
2026,"2.5. Готов помогать проекту",Архангельская область,"0-13",1,1
2026,"2.5. Готов помогать проекту",Архангельская область,"55-64",11,18
2026,"2.6. Готов помогать организации",Архангельская область,"36-54",149,299
2026,"2.6. Готов помогать организации",Архангельская область,"25-35",41,61
2026,"2.6. Готов помогать организации",Архангельская область,"14-17",337,412
2026,"2.6. Готов помогать организации",Архангельская область,"55-64",257,430
2026,"2.6. Готов помогать организации",Архангельская область,"18-24",217,273
2026,"2.6. Готов помогать организации",Архангельская область,"0-13",21,32
2026,"3.1. Подал заявку на конкурс",Архангельская область,"55-64",3,3
2026,"3.1. Подал заявку на конкурс",Архангельская область,"25-35",2,2
2026,"3.1. Подал заявку на конкурс",Архангельская область,"36-54",5,5
2026,"3.2. Заявка в Добро Центр",Архангельская область,"36-54",4,4
2026,"3.2. Заявка в Добро Центр",Архангельская область,"18-24",1,3
2026,"3.2. Заявка в Добро Центр",Архангельская область,"25-35",3,5
2026,"3.3. Написал статью в Добро Медиа",Архангельская область,"36-54",2,67
2026,"3.3. Написал статью в Добро Медиа",Архангельская область,"25-35",1,1
2026,"4.1. Прикрепил Госуслуги",Архангельская область,"18-24",201,201
2026,"4.1. Прикрепил Госуслуги",Архангельская область,"14-17",301,301
2026,"4.1. Прикрепил Госуслуги",Архангельская область,"25-35",60,60
2026,"4.1. Прикрепил Госуслуги",Архангельская область,"55-64",100,100
2026,"4.1. Прикрепил Госуслуги",Архангельская область,"36-54",196,196
2026,"4.2. Волонтер откликнулся на вакансию",Архангельская область,"36-54",454,1771
2026,"4.2. Волонтер откликнулся на вакансию",Архангельская область,"55-64",465,1255
2026,"4.2. Волонтер откликнулся на вакансию",Архангельская область,"25-35",153,363
2026,"4.2. Волонтер откликнулся на вакансию",Архангельская область,"0-13",80,219
2026,"4.2. Волонтер откликнулся на вакансию",Архангельская область,"14-17",835,1991
2026,"4.2. Волонтер откликнулся на вакансию",Архангельская область,"18-24",831,1926
2026,"4.4. Проставил часы как организатор мероприятия",Архангельская область,"36-54",6,399
2026,"4.4. Проставил часы как организатор мероприятия",Архангельская область,"55-64",1,23
2026,"4.5. Логинился > 2 раз в мобильном приложении",Архангельская область,"14-17",14,14
2026,"4.5. Логинился > 2 раз в мобильном приложении",Архангельская область,"55-64",6,6
2026,"4.5. Логинился > 2 раз в мобильном приложении",Архангельская область,"25-35",1,1
2026,"4.5. Логинился > 2 раз в мобильном приложении",Архангельская область,"36-54",7,7
2026,"4.5. Логинился > 2 раз в мобильном приложении",Архангельская область,"0-13",1,1
2026,"4.5. Логинился > 2 раз в мобильном приложении",Архангельская область,"18-24",5,5
2026,"4.6. Прошел опрос NPS",Архангельская область,"14-17",31,31
2026,"4.6. Прошел опрос NPS",Архангельская область,"18-24",155,155
2026,"4.6. Прошел опрос NPS",Архангельская область,"36-54",255,256
2026,"4.6. Прошел опрос NPS",Архангельская область,"25-35",73,73
2026,"4.6. Прошел опрос NPS",Архангельская область,"55-64",69,71
2026,"4.7. Пригласил пользователя по реферальной ссылке",Архангельская область,"36-54",2,2
2026,"4.7. Пригласил пользователя по реферальной ссылке",Архангельская область,"18-24",9,9
2026,"4.7. Пригласил пользователя по реферальной ссылке",Архангельская область,"14-17",15,15
2026,"4.8. Заполнил отзыв о мероприятии",Архангельская область,"36-54",46,174
2026,"4.8. Заполнил отзыв о мероприятии",Архангельская область,"18-24",26,65
2026,"4.8. Заполнил отзыв о мероприятии",Архангельская область,"14-17",31,66
2026,"4.8. Заполнил отзыв о мероприятии",Архангельская область,"0-13",2,8
2026,"4.8. Заполнил отзыв о мероприятии",Архангельская область,"25-35",6,15
2026,"4.8. Заполнил отзыв о мероприятии",Архангельская область,"55-64",33,80
2026,"1.2. Донорство",Астраханская область,"18-24",12,12
2026,"1.2. Донорство",Астраханская область,"25-35",8,10
2026,"1.2. Донорство",Астраханская область,"55-64",1,1
2026,"1.2. Донорство",Астраханская область,"36-54",14,16
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником",Астраханская область,"18-24",6,6
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником",Астраханская область,"36-54",29,29
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником",Астраханская область,"25-35",8,8
2026,"1.3. Наставничество 2.7. Подал заявку на то, чтобы стать наставником",Астраханская область,"55-64",5,5
2026,"1.3. Наставничество 2.8. Подал заявку на помощь наставника",Астраханская область,"18-24",1,1
2026,"1.3. Наставничество 2.8. Подал заявку на помощь наставника",Астраханская область,"25-35",1,1
2026,"1.4. Создание проектов",Астраханская область,"36-54",3,6
2026,"1.5. Создание мероприятий",Астраханская область,"36-54",5,10
2026,"1.5. Создание мероприятий",Астраханская область,"18-24",2,3
2026,"1.5. Создание мероприятий",Астраханская область,"25-35",3,10
2026,"1.6. Добро Взаимно (закрытые сделки)",Астраханская область,"18-24",1,1
2026,"1.6. Добро Взаимно (закрытые сделки)",Астраханская область,"55-64",1,1
